BPOS,BVEL,DEPT,DateTime,GR,HKLD,ROP5,RPM,Run,SPPA,SWOB,Stick_RT,TFLO,TQA,Well,azi,dispEw,dispNs,dls,incl,tvd
24.83,0.01,286.0,2007-10-13 17:12:20,68.45,92.35,32.72,130.0,run_2,76.63,2.6,9.0,3323.21,0.76,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.74,0.01,286.0,2007-10-13 17:12:30,68.45,95.99,32.86,130.0,run_2,74.95,-1.04,9.0,3323.21,0.52,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.65,0.01,286.0,2007-10-13 17:12:40,68.45,95.57,32.86,119.0,run_2,73.85,-0.62,9.0,2924.43,0.56,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.53,0.01,286.0,2007-10-13 17:12:50,79.4,93.1,33.37,129.0,run_2,75.86,1.86,9.0,2924.43,0.28,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.45,0.01,286.0,2007-10-13 17:13:00,79.4,92.75,33.37,130.0,run_2,76.82,2.2,9.0,3323.21,0.4,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.38,0.01,286.0,2007-10-13 17:13:10,79.4,93.0,33.52,129.0,run_2,76.44,1.95,9.0,3323.21,0.36,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.28,0.01,286.0,2007-10-13 17:13:20,73.93,92.88,33.15,129.0,run_2,76.51,2.07,9.0,3323.21,0.36,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.21,0.01,286.0,2007-10-13 17:13:30,73.93,92.7,33.15,129.0,run_2,76.38,2.25,9.0,3323.21,0.45,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.14,0.01,286.0,2007-10-13 17:13:40,73.93,92.87,32.77,130.0,run_2,76.32,2.09,9.0,2924.43,0.31,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
24.03,0.01,286.0,2007-10-13 17:13:50,73.93,92.56,32.77,130.0,run_2,76.32,2.39,9.0,3323.21,0.51,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
23.95,0.01,286.0,2007-10-13 17:14:00,73.93,92.73,32.62,130.0,run_2,76.21,2.22,9.0,3323.21,0.51,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
23.87,0.01,286.0,2007-10-13 17:14:10,73.93,92.65,32.62,129.0,run_2,76.19,2.3,9.0,3323.21,0.19,F-4,202.9,-0.8437653432,-3.9117967992000002,0.0227723097112861,1.84,286.4156832
23.23,0.01,328.0,2007-10-13 20:04:20,57.5,94.46,61.64,143.0,run_2,81.58,3.55,15.0,2857.96,0.38,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
23.15,0.01,328.0,2007-10-13 20:04:30,57.5,94.63,61.64,143.0,run_2,81.35,3.38,15.0,3433.99,0.38,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
23.07,0.01,328.0,2007-10-13 20:04:40,57.5,95.0,52.91,143.0,run_2,81.29,3.01,15.0,3433.99,0.2,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.95,0.01,328.0,2007-10-13 20:04:50,38.33,94.86,46.86,143.0,run_2,81.39,3.15,15.0,3433.99,0.43,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.86,0.01,328.0,2007-10-13 20:05:00,38.33,95.21,46.86,143.0,run_2,81.29,2.8,15.0,3433.99,0.43,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.77,0.01,328.0,2007-10-13 20:05:10,38.33,94.72,42.28,143.0,run_2,81.46,3.28,15.0,2857.96,0.4,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.66,0.01,328.0,2007-10-13 20:05:20,24.64,95.43,38.49,143.0,run_2,80.93,2.58,15.0,3433.99,0.36,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.57,0.01,328.0,2007-10-13 20:05:30,24.64,95.4,38.49,143.0,run_2,81.01,2.6,15.0,3433.99,0.35,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.48,0.01,328.0,2007-10-13 20:05:40,24.64,94.67,36.01,126.0,run_2,80.94,3.34,15.0,2857.96,0.28,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.36,0.01,328.0,2007-10-13 20:05:50,16.43,95.46,34.1,143.0,run_2,81.17,2.55,30.0,2857.96,0.31,F-4,202.64,-1.363306392,-5.1496551312,0.00123031496062992,1.89,327.6438456
22.62,0.03,369.0,2007-10-13 22:08:50,90.36,91.99,106.1,145.0,run_2,88.91,6.39,21.0,3500.45,0.75,F-4,238.05,-2.9364873960000004,-6.5977529208000005,0.0709284776902887,4.27,369.04391519999996
22.35,0.03,369.0,2007-10-13 22:09:00,90.36,91.66,106.8,145.0,run_2,89.23,6.71,21.0,3500.45,0.73,F-4,238.05,-2.9364873960000004,-6.5977529208000005,0.0709284776902887,4.27,369.04391519999996
22.08,0.03,369.0,2007-10-13 22:09:10,90.36,91.77,106.83,135.0,run_2,89.12,6.6,21.0,3278.9,0.58,F-4,238.05,-2.9364873960000004,-6.5977529208000005,0.0709284776902887,4.27,369.04391519999996
22.04,0.03,410.0,2007-10-13 23:47:20,115.0,91.47,110.17,145.0,run_2,90.73,7.28,33.0,3500.45,0.7,F-4,246.97,-6.4155800568,-8.3328336264,0.0626607611548557,6.69,409.68503280000004
21.76,0.03,410.0,2007-10-13 23:47:30,109.52,91.48,109.93,145.0,run_2,90.97,7.27,33.0,3500.45,0.73,F-4,246.97,-6.4155800568,-8.3328336264,0.0626607611548557,6.69,409.68503280000004
21.49,0.03,410.0,2007-10-13 23:47:40,109.52,90.91,110.01,145.0,run_2,91.44,7.84,33.0,3500.45,0.74,F-4,246.97,-6.4155800568,-8.3328336264,0.0626607611548557,6.69,409.68503280000004
31.39,0.02,562.0,2007-10-14 06:06:30,82.14,99.65,58.9,153.0,run_2,107.1,0.57,48.0,3766.31,0.57,F-4,183.05,-17.487009984,-26.5222707552,0.05849737532808401,8.99,560.0148312000001
31.24,0.02,562.0,2007-10-14 06:06:40,82.14,99.9,59.5,153.0,run_2,104.68,0.32,48.0,3013.05,0.61,F-4,183.05,-17.487009984,-26.5222707552,0.05849737532808401,8.99,560.0148312000001
31.03,0.02,562.0,2007-10-14 06:06:50,76.67,100.56,60.1,153.0,run_2,102.78,-0.35,48.0,3766.31,0.42,F-4,183.05,-17.487009984,-26.5222707552,0.05849737532808401,8.99,560.0148312000001
30.87,0.02,562.0,2007-10-14 06:07:00,76.67,100.58,60.35,153.0,run_2,102.26,-0.37,48.0,3766.31,0.42,F-4,183.05,-17.487009984,-26.5222707552,0.05849737532808401,8.99,560.0148312000001
30.71,0.02,562.0,2007-10-14 06:07:10,76.67,100.02,61.32,153.0,run_2,102.4,0.19,48.0,3766.31,0.61,F-4,183.05,-17.487009984,-26.5222707552,0.05849737532808401,8.99,560.0148312000001
30.49,0.02,562.0,2007-10-14 06:07:20,84.88,99.69,61.86,153.0,run_2,102.81,0.52,48.0,3766.31,0.77,F-4,183.05,-17.487009984,-26.5222707552,0.05849737532808401,8.99,560.0148312000001
33.07,0.02,600.0,2007-10-14 07:08:50,98.57,98.32,77.24,158.0,run_2,104.19,7.26,15.0,3766.31,0.61,F-4,182.22,-17.7635065608,-32.5415867328,0.006722440944881889,9.21,597.6353807999999
32.87,0.02,600.0,2007-10-14 07:09:00,98.57,98.38,77.68,158.0,run_2,104.37,7.2,15.0,3766.31,0.61,F-4,182.22,-17.7635065608,-32.5415867328,0.006722440944881889,9.21,597.6353807999999
32.68,0.02,600.0,2007-10-14 07:09:10,98.57,98.22,77.72,120.0,run_2,104.11,7.36,15.0,2348.4,0.47,F-4,182.22,-17.7635065608,-32.5415867328,0.006722440944881889,9.21,597.6353807999999
32.43,0.02,600.0,2007-10-14 07:09:20,93.09,98.12,77.61,158.0,run_2,104.11,7.46,12.0,2348.4,0.63,F-4,182.22,-17.7635065608,-32.5415867328,0.006722440944881889,9.21,597.6353807999999
